fileID,archiveID,setID,hash,modified,newest,entries,attr,size,compressed,method,name,path,volume,photo,dimensions,thumb,comment,warnings
368,368,1,,6/20/25 10:43,3/26/03 12:00,8546,0,599162880,599162880,Network,NRMEIEVL64_DE.ISO,https://archive.org/download/nrmeievl-64-de,NRMEIEVL_DE,https://archive.org/download/nrmeievl-64-de/NRMEIEVL64_DE.jpg,,https://archive.org/download/nrmeievl-64-de/NRMEIEVL64_DE_thumb.jpg,,
369,369,1,,6/20/25 10:43,3/25/03 12:00,8523,0,596361216,596361216,Network,NRMEIEVL_EN.ISO,https://archive.org/download/nrmeievl-en,NRMEIEVL_EN,https://archive.org/download/nrmeievl-en/NRMEIEVL_EN.jpg,,https://archive.org/download/nrmeievl-en/NRMEIEVL_EN_thumb.jpg,,
370,370,1,,6/20/25 10:43,9/10/03 21:48,8267,0,615950336,615950336,Network,NRMLEVL_EN1.ISO,https://archive.org/download/nrmlevl-en-1,NRMLEVL_EN1,https://archive.org/download/nrmlevl-en-1/NRMLEVL_EN1.jpg,,https://archive.org/download/nrmlevl-en-1/NRMLEVL_EN1_thumb.jpg,,
849,849,1,,6/15/18 14:04,9/10/03 21:48,8267,0,616257536,616257536,FS,MSTN-CD074-NRMLEVL_EN1.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,NRMLEVL_EN1,MSTN-CD074-NRMLEVL_EN1.png,1431x1476,,,
371,371,1,,6/20/25 10:43,9/10/03 15:00,6861,0,407666688,407666688,Network,NRMLEVL_EN2.ISO,https://archive.org/download/nrmlevl-en-2,NRMLEVL_EN2,https://archive.org/download/nrmlevl-en-2/NRMLEVL_EN2.jpg,,https://archive.org/download/nrmlevl-en-2/NRMLEVL_EN2_thumb.jpg,,
920,920,1,,6/15/18 14:13,9/10/03 15:00,6861,0,407666688,407666688,FS,MSTN-CD075-NRMLEVL_EN2.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,NRMLEVL_EN2,MSTN-CD075-NRMLEVL_EN2.png,1431x1476,,,
372,372,1,,6/20/25 10:43,9/10/03 15:05,4293,0,597776384,597776384,Network,NRMLEVL_EN3.ISO,https://archive.org/download/nrmlevl-en-3,NRMLEVL_EN3,https://archive.org/download/nrmlevl-en-3/NRMLEVL_EN3.jpg,,https://archive.org/download/nrmlevl-en-3/NRMLEVL_EN3_thumb.jpg,,
784,784,1,,6/15/18 14:33,9/10/03 15:05,4293,0,598083584,598083584,FS,MSTN-CD076-NRMLEVL_EN3.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,NRMLEVL_EN3,MSTN-CD076-NRMLEVL_EN3.png,1431x1476,,,
373,373,1,,6/20/25 10:43,3/26/03 12:00,96,0,39378944,39378944,Network,NRMSRM_DE.ISO,https://archive.org/download/nrmsrm-de,NRMSRM_DE,https://archive.org/download/nrmsrm-de/NRMSRM_DE.jpg,,https://archive.org/download/nrmsrm-de/NRMSRM_DE_thumb.jpg,,
374,374,1,,6/20/25 10:43,3/25/03 12:00,95,0,38744064,38744064,Network,NRMSRM_EN.ISO,https://archive.org/download/nrmsrm-en,NRMSRM_EN,https://archive.org/download/nrmsrm-en/NRMSRM_EN.jpg,,https://archive.org/download/nrmsrm-en/NRMSRM_EN_thumb.jpg,,
